O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2401888,136342,F,76470.68,15-02-1994,5-LOW,Clerk#000000640,0,ans are across the even packages. deposits cajole slyly on the accoun
2401889,78691,O,141952.55,29-03-1998,2-HIGH,Clerk#000000983,0," special packages breach. pending, express "
2401890,133664,F,49469.38,12-02-1995,4-NOT SPECIFIED,Clerk#000000249,0,"nal packages haggle blithely regular courts. furious, regular de"
2401891,82487,O,221303.88,25-01-1997,4-NOT SPECIFIED,Clerk#000000022,0,"ic, ironic deposits might wake slyly express dependencies. carefully"
2401892,54913,F,151744.09,02-04-1992,4-NOT SPECIFIED,Clerk#000000022,0,ckages wake carefully along the quickly ironic deposits. furiou
2401893,112112,F,81403.02,08-05-1993,4-NOT SPECIFIED,Clerk#000000289,0,lly dogged pinto beans nag b
2401894,107434,O,134282.49,25-12-1995,3-MEDIUM,Clerk#000000209,0,y express excuses. furious accounts about the spec
2401895,91582,F,234408.35,15-03-1993,4-NOT SPECIFIED,Clerk#000000291,0,s deposits. instructions haggle furiousl
2401920,37180,O,71266.66,01-04-1998,1-URGENT,Clerk#000000302,0,y furiously regular requests. special foxes use about the f
2401921,131449,F,107876.14,24-02-1993,1-URGENT,Clerk#000000332,0,ove the deposits. regular theodolites after the bl
2401922,46891,F,97460.75,16-06-1994,1-URGENT,Clerk#000000860,0,tions. slyly special id
2401923,128579,O,208001.51,14-06-1996,2-HIGH,Clerk#000000333,0,oxes sleep blithely above the furiously even dolphins. quickly pending account
2401924,113530,O,120692.62,28-05-1996,1-URGENT,Clerk#000000499,0,totes hinder furiously ironic requests-- furiously silent theodolites cajole 
2401925,96551,F,46517.18,23-06-1993,4-NOT SPECIFIED,Clerk#000000702,0,sly along the enticing ideas! furiously silent deposits
2401926,21919,F,242432.39,30-10-1992,4-NOT SPECIFIED,Clerk#000000500,0,"he pending, pending deposi"
2401927,133003,O,51073.68,14-05-1996,2-HIGH,Clerk#000000877,0," haggle furiously special, ironic exc"
2401952,81031,F,216368.54,25-07-1993,5-LOW,Clerk#000000829,0,bout the carefully even deposits. regular 
2401953,9026,F,108756.95,13-12-1993,2-HIGH,Clerk#000000941,0,nly along the requests. bold pla
2401954,39706,O,68369.36,19-08-1997,3-MEDIUM,Clerk#000000753,0,ages wake quickly: fluffily bold deposits detect carefully! furiously s
2401955,138646,F,205250.19,04-02-1992,1-URGENT,Clerk#000000916,0,"ts. slyly final ideas wake according to the bold, bold i"
2401956,100756,F,44851.84,05-02-1995,2-HIGH,Clerk#000000577,0,ic deposits hang around the furio
2401957,50485,O,264077.94,17-09-1995,5-LOW,Clerk#000000996,0,"nts around the express, bold packages sleep fluffily alongside"
2401958,79958,F,98113.12,28-04-1994,5-LOW,Clerk#000000775,0,regular instructions boost quickly regul
2401959,148138,O,327417.21,03-01-1996,5-LOW,Clerk#000000119,0,kly according to the slyly unusual accounts. even
2401984,42667,F,38022.3,29-10-1993,3-MEDIUM,Clerk#000000973,0,"ests sleep carefully after the special requests. express, "
2401985,76934,F,167086.63,07-08-1992,1-URGENT,Clerk#000000785,0,"accounts are against the pending, quiet pinto beans. asymptotes are carefull"
2401986,18298,F,167125.99,16-03-1995,4-NOT SPECIFIED,Clerk#000000501,0, theodolites haggle carefully quick pinto beans; carefully even
2401987,11698,F,157354.89,15-05-1993,3-MEDIUM,Clerk#000000586,0,ges unwind boldly against
2401988,98048,O,33928.11,12-05-1998,3-MEDIUM,Clerk#000000517,0,asymptotes haggle. accounts according to the quickly regular ideas 
